step,hour,txn_type,amount,name_orig,old_balance_orig,new_balance_orig,name_dest,old_balance_dest,new_balance_dest,balance_diff_orig,balance_diff_dest,amount_to_balance_ratio,dest_balance_zeroed,night_txn_flag,weekend_flag,round_amount_flag,is_fraud
346,10,CASH_OUT,10589.91,C6628775,12225.58,1635.67,C8800751,8551.54,19141.45,10589.91,10589.91,0.8662,0,0,0,0,0
136,16,TRANSFER,8134.48,C6566905,74099.5,65965.02,C4471384,8777.67,16912.15,8134.48,8134.48,0.1098,0,0,1,0,0
704,8,CASH_IN,1664.56,C2098066,4360.44,6025.0,C2644012,4610.3,6274.86,-1664.56,1664.56,0.3817,0,0,0,0,0
155,11,TRANSFER,280047.67,C4954142,325662.62,45614.95,C6876815,10128.31,0.0,280047.67,-10128.31,0.8599,1,0,1,0,1
292,4,TRANSFER,52055.86,C5014534,49812.48,0.0,C8737057,8796.63,60852.49,49812.48,52055.86,1.045,0,1,1,0,0
270,6,CASH_IN,758.55,C9087390,10947.59,11706.14,C9786203,26414.69,27173.24,-758.55,758.55,0.0693,0,0,0,0,0
680,8,DEBIT,1245.28,C7960946,316639.59,315394.31,C4371143,1629.97,2875.25,1245.28,1245.28,0.0039,0,0,0,0,0
309,21,PAYMENT,6416.17,C6075131,127783.53,121367.36,C5671199,10372.73,16788.9,6416.17,6416.17,0.0502,0,0,1,0,0
257,17,TRANSFER,13304.53,C9846863,295155.66,281851.13,C2687981,54311.56,67616.09,13304.53,13304.53,0.0451,0,0,0,0,0
224,8,DEBIT,1662.52,C4278946,35108.43,33445.91,C7519608,1356.19,3018.71,1662.52,1662.52,0.0474,0,0,0,0,0
229,13,TRANSFER,4785.39,C6367841,18747.02,13961.63,C6949389,36934.9,41720.29,4785.39,4785.39,0.2553,0,0,0,0,0
593,17,PAYMENT,1096.33,C7324289,6702.92,5606.59,C2230908,817.22,1913.55,1096.33,1096.33,0.1636,0,0,0,0,0
236,20,PAYMENT,9676.92,C1935605,42513.77,32836.85,C9686168,2099.12,11776.04,9676.92,9676.92,0.2276,0,0,0,0,0
216,0,TRANSFER,6530.51,C2474271,61319.76,54789.25,C9458069,14493.52,21024.03,6530.51,6530.51,0.1065,0,1,0,0,0
598,22,TRANSFER,159585.07,C3769412,72161.64,0.0,C3718506,9779.76,169364.83,72161.64,159585.07,2.2115,0,1,0,0,0
129,9,PAYMENT,720.38,C2749819,43533.96,42813.58,C1506291,1254.07,1974.45,720.38,720.38,0.0165,0,0,1,0,0
111,15,CASH_IN,137749.87,C4017064,11590.97,149340.84,C6280453,5472.4,143222.27,-137749.87,137749.87,11.8842,0,0,0,0,0
126,6,PAYMENT,927.36,C5713728,8833.1,7905.74,C1485192,40377.2,41304.56,927.36,927.36,0.105,0,0,1,0,0
651,3,TRANSFER,2463.43,C4526124,4834.79,2371.36,C4487235,18991.25,21454.68,2463.43,2463.43,0.5095,0,1,1,0,0
485,5,TRANSFER,42272.04,C6262381,36596.05,0.0,C5575262,40716.2,82988.24,36596.05,42272.04,1.1551,0,1,1,0,0
650,2,DEBIT,805.07,C8367209,7874.75,7069.68,C4645368,6825.25,7630.32,805.07,805.07,0.1022,0,1,1,0,0
601,1,DEBIT,3899.75,C8528488,1616.0,0.0,C8019959,1905.4,5805.15,1616.0,3899.75,2.4132,0,1,0,0,0
720,0,CASH_IN,7766.02,C3244399,3201.98,10968.0,C4514380,9312.55,17078.57,-7766.02,7766.02,2.4254,0,1,0,0,0
202,10,TRANSFER,1637.16,C4010266,203748.79,202111.63,C6984097,2131.17,3768.33,1637.16,1637.16,0.008,0,0,0,0,0
704,8,DEBIT,36509.08,C1249836,29660.2,0.0,C3000683,51603.95,88113.03,29660.2,36509.08,1.2309,0,0,0,0,0
229,13,CASH_OUT,945.71,C9504138,2216.89,1271.18,C8033351,3635.99,4581.7,945.71,945.71,0.4266,0,0,0,0,0
220,4,PAYMENT,2253.11,C8794978,94838.3,92585.19,C9328398,1245.0,3498.11,2253.11,2253.11,0.0238,0,1,0,0,0
52,4,CASH_IN,10722.42,C8240472,21695.67,32418.09,C6570744,7468.93,18191.35,-10722.42,10722.42,0.4942,0,1,0,0,0
523,19,PAYMENT,3185.91,C6704045,5242.43,2056.52,C5289575,245.46,3431.37,3185.91,3185.91,0.6077,0,0,0,0,0
111,15,TRANSFER,2734.15,C8230894,236391.11,233656.96,C2132663,47679.18,50413.33,2734.15,2734.15,0.0116,0,0,0,0,0
347,11,TRANSFER,30406.04,C6158088,263507.15,233101.11,C5234944,291.12,30697.16,30406.04,30406.04,0.1154,0,0,0,0,0
166,22,DEBIT,3100.82,C7088418,40872.77,37771.95,C8822707,3508.4,6609.22,3100.82,3100.82,0.0759,0,1,1,0,0
504,0,DEBIT,2671.03,C6475109,115109.18,112438.15,C3684597,10151.17,12822.2,2671.03,2671.03,0.0232,0,1,0,0,0
125,5,PAYMENT,4342.45,C3000604,64616.04,60273.59,C7097194,80847.01,85189.46,4342.45,4342.45,0.0672,0,1,1,0,0
652,4,DEBIT,2404.55,C4030940,9937.57,7533.02,C9477055,12884.5,15289.05,2404.55,2404.55,0.242,0,1,1,0,0
56,8,PAYMENT,13572.52,C8308594,5939.65,0.0,C1439905,29792.57,43365.09,5939.65,13572.52,2.2851,0,0,0,0,0
326,14,CASH_OUT,10867.79,C3306382,27675.94,16808.15,C4562776,2591.83,13459.62,10867.79,10867.79,0.3927,0,0,1,0,0
598,22,CASH_IN,40721.52,C2812855,5792.37,46513.89,C8237387,4668.56,45390.08,-40721.52,40721.52,7.0302,0,1,0,0,0
613,13,PAYMENT,2275.94,C5461852,126264.97,123989.03,C8281935,3182.22,5458.16,2275.94,2275.94,0.018,0,0,0,0,0
164,20,CASH_IN,15967.11,C4874382,30235.84,46202.95,C1000919,35155.37,51122.48,-15967.11,15967.11,0.5281,0,0,1,0,0
128,8,CASH_IN,8389.18,C4335613,5345.37,13734.55,C7339147,224.06,8613.24,-8389.18,8389.18,1.5694,0,0,1,0,0
587,11,CASH_IN,252.11,C7827505,29281.26,29533.37,C8477273,9620.01,9872.12,-252.11,252.11,0.0086,0,0,0,0,0
177,9,CASH_IN,29773.81,C5149088,2136.78,31910.59,C5896152,2149.71,31923.52,-29773.81,29773.81,13.934,0,0,0,0,0
461,5,CASH_OUT,4096.21,C2868685,68335.52,64239.31,C7785517,20596.28,24692.49,4096.21,4096.21,0.0599,0,1,1,0,0
289,1,DEBIT,1036.83,C6338961,11075.75,10038.92,C9411393,4357.59,5394.42,1036.83,1036.83,0.0936,0,1,1,0,0
234,18,CASH_IN,19363.21,C4993625,58885.49,78248.7,C7007154,2044.03,21407.24,-19363.21,19363.21,0.3288,0,0,0,0,0
479,23,TRANSFER,44967.11,C6177509,12607.83,0.0,C5803494,106854.54,151821.65,12607.83,44967.11,3.5666,0,1,1,0,0
554,2,TRANSFER,6035.98,C1902825,1177.81,0.0,C5231439,6937.84,12973.82,1177.81,6035.98,5.1247,0,1,0,0,0
667,19,DEBIT,6944.56,C4514781,231285.79,224341.23,C5410048,292.38,7236.94,6944.56,6944.56,0.03,0,0,1,0,0
531,3,DEBIT,883.67,C3258269,627622.22,626738.55,C6306947,2181.49,3065.16,883.67,883.67,0.0014,0,1,0,0,0
138,18,CASH_OUT,11776.24,C2562533,25037.75,13261.51,C9476172,19521.44,31297.68,11776.24,11776.24,0.4703,0,0,1,0,0
288,0,TRANSFER,24309.16,C5977485,13461.92,0.0,C5150592,307.6,24616.76,13461.92,24309.16,1.8058,0,1,1,0,0
399,15,CASH_IN,1678.11,C5729132,23010.45,24688.56,C4083969,1289.33,2967.44,-1678.11,1678.11,0.0729,0,0,0,0,0
374,14,DEBIT,10273.4,C1521583,3708.52,0.0,C7293250,25929.07,36202.47,3708.52,10273.4,2.7702,0,0,0,0,0
137,17,PAYMENT,2372.92,C2700589,37414.43,35041.51,C8105413,1113.46,3486.38,2372.92,2372.92,0.0634,0,0,1,0,0
332,20,CASH_IN,1075.39,C4201171,61826.97,62902.36,C2277331,1592.22,2667.61,-1075.39,1075.39,0.0174,0,0,1,0,0
261,21,CASH_IN,19236.52,C1550304,18888.23,38124.75,C5386809,827.07,20063.59,-19236.52,19236.52,1.0184,0,0,0,0,0
194,2,CASH_IN,3054.46,C8283607,87397.47,90451.93,C3814530,1222.31,4276.77,-3054.46,3054.46,0.0349,0,1,0,0,0
273,9,TRANSFER,2657.79,C2163159,4736.53,2078.74,C8750549,1806.03,4463.82,2657.79,2657.79,0.5611,0,0,0,0,0
103,7,PAYMENT,7114.13,C5495312,3921.02,0.0,C3186545,4213.82,11327.95,3921.02,7114.13,1.8144,0,0,0,0,0
604,4,DEBIT,6433.98,C2642203,2511.17,0.0,C4735846,14074.09,20508.07,2511.17,6433.98,2.5621,0,1,0,0,0
241,1,CASH_IN,4489.02,C3757501,35394.33,39883.35,C5956976,2604.23,7093.25,-4489.02,4489.02,0.1268,0,1,0,0,0
395,11,TRANSFER,16248.11,C2807714,384522.84,368274.73,C3194685,3159.41,19407.52,16248.11,16248.11,0.0423,0,0,0,0,0
645,21,CASH_OUT,597.12,C6596453,29844.44,29247.32,C4956701,2750.98,3348.1,597.12,597.12,0.02,0,0,1,0,0
618,18,PAYMENT,1968.75,C5676927,34402.52,32433.77,C7408647,3861.61,5830.36,1968.75,1968.75,0.0572,0,0,0,0,0
176,8,TRANSFER,5869.31,C9488414,125283.44,119414.13,C5318958,8147.72,14017.03,5869.31,5869.31,0.0468,0,0,0,0,0
562,10,TRANSFER,4380.72,C3214309,19453.31,15072.59,C8189644,7922.95,12303.67,4380.72,4380.72,0.2252,0,0,0,0,0
196,4,CASH_IN,45768.13,C3106770,28769.19,74537.32,C3190107,3023.97,48792.1,-45768.13,45768.13,1.5909,0,1,0,0,0
654,6,TRANSFER,2920.48,C2838029,1028662.09,1025741.61,C8108804,1139.3,4059.78,2920.48,2920.48,0.0028,0,0,1,0,0
431,23,CASH_IN,2465.06,C1564777,22845.25,25310.31,C8973933,847.26,3312.32,-2465.06,2465.06,0.1079,0,1,0,0,0
369,9,TRANSFER,3436.56,C8733879,19558.17,16121.61,C6830282,9167.03,12603.59,3436.56,3436.56,0.1757,0,0,0,0,0
694,22,CASH_OUT,5610.04,C8514622,15639.59,10029.55,C1527381,13158.59,18768.63,5610.04,5610.04,0.3587,0,1,0,0,0
667,19,CASH_OUT,7935.93,C9314523,32302.91,24366.98,C7060257,25432.44,33368.37,7935.93,7935.93,0.2457,0,0,1,0,0
498,18,CASH_IN,2364.98,C7102627,15005.88,17370.86,C3652838,1220.07,3585.05,-2364.98,2364.98,0.1576,0,0,1,0,0
520,16,PAYMENT,2731.73,C5497879,3018.27,286.54,C4304297,39286.08,42017.81,2731.73,2731.73,0.9051,0,0,0,0,0
335,23,TRANSFER,21715.63,C1112594,2522.79,0.0,C3367323,9719.79,31435.42,2522.79,21715.63,8.6078,0,1,1,0,0
434,2,PAYMENT,1199.77,C1827581,7475.11,6275.34,C5726455,1477.73,2677.5,1199.77,1199.77,0.1605,0,1,0,0,0
85,13,PAYMENT,2858.71,C9048673,6272.71,3414.0,C8760339,19330.0,22188.71,2858.71,2858.71,0.4557,0,0,0,0,0
691,19,TRANSFER,453596.24,C4901116,27852.11,0.0,C6257503,5097.49,458693.73,27852.11,453596.24,16.2859,0,0,0,0,0
650,2,CASH_IN,17022.18,C6078068,66020.0,83042.18,C9191280,1065.32,18087.5,-17022.18,17022.18,0.2578,0,1,1,0,0
694,22,CASH_OUT,4740.19,C4540694,6804.04,2063.85,C8952806,30211.92,34952.11,4740.19,4740.19,0.6967,0,1,0,0,0
322,10,TRANSFER,8823.07,C5205047,20819.07,11996.0,C6521512,241.67,9064.74,8823.07,8823.07,0.4238,0,0,1,0,0
144,0,PAYMENT,2225.27,C9987519,21984.02,19758.75,C5379634,68193.18,70418.45,2225.27,2225.27,0.1012,0,1,1,0,0
55,7,CASH_OUT,1789.5,C6865054,6237.16,4447.66,C1255471,24713.2,26502.7,1789.5,1789.5,0.2869,0,0,0,0,0
324,12,CASH_IN,73021.7,C6287279,30808.34,103830.04,C4284641,2704.87,75726.57,-73021.7,73021.7,2.3702,0,0,1,0,0
465,9,TRANSFER,12644.09,C9904982,4427.18,0.0,C1840410,35236.95,47881.04,4427.18,12644.09,2.856,0,0,1,0,0
495,15,TRANSFER,219702.16,C5419215,3155.3,0.0,C7598685,165638.03,385340.19,3155.3,219702.16,69.6296,0,0,1,0,0
423,15,PAYMENT,3395.1,C4356044,13625.39,10230.29,C3233806,3778.97,7174.07,3395.1,3395.1,0.2492,0,0,0,0,0
464,8,TRANSFER,16068.59,C7045400,1113484.14,1097415.55,C7961186,8267.76,24336.35,16068.59,16068.59,0.0144,0,0,1,0,0
626,2,TRANSFER,34172.61,C8553209,9953.0,0.0,C6495669,2602.54,36775.15,9953.0,34172.61,3.4334,0,1,1,0,0
690,18,PAYMENT,2734.54,C9741665,55417.06,52682.52,C7942039,28484.96,31219.5,2734.54,2734.54,0.0493,0,0,0,0,0
208,16,DEBIT,16297.51,C3136799,95327.3,79029.79,C2947434,1940.75,18238.26,16297.51,16297.51,0.171,0,0,0,0,0
696,0,CASH_IN,24510.58,C7860588,9060.29,33570.87,C9308388,2539.26,27049.84,-24510.58,24510.58,2.7053,0,1,0,0,0
509,5,DEBIT,2541.85,C8597629,3362.3,820.45,C4707993,4818.62,7360.47,2541.85,2541.85,0.756,0,1,0,0,0
716,20,PAYMENT,2586.71,C8530560,113423.27,110836.56,C9816713,4483.68,7070.39,2586.71,2586.71,0.0228,0,0,0,0,0
275,11,PAYMENT,1008.52,C2962695,247871.43,246862.91,C7202457,1213.08,2221.6,1008.52,1008.52,0.0041,0,0,0,0,0
370,10,CASH_IN,7536.96,C2178669,31769.11,39306.07,C6490239,35566.48,43103.44,-7536.96,7536.96,0.2372,0,0,0,0,0
624,0,DEBIT,5219.82,C8975597,2958.9,0.0,C5599941,8005.02,13224.84,2958.9,5219.82,1.7641,0,1,1,0,0
385,1,DEBIT,3168.64,C9398978,18963.19,15794.55,C5317258,25632.81,28801.45,3168.64,3168.64,0.1671,0,1,0,0,0
19,19,PAYMENT,9908.88,C5191308,38086.41,28177.53,C9800200,8385.94,18294.82,9908.88,9908.88,0.2602,0,0,0,0,0
168,0,DEBIT,1147.44,C3543588,1925.98,778.54,C4168190,2672.27,3819.71,1147.44,1147.44,0.5958,0,1,0,0,0
16,16,PAYMENT,9050.73,C5527460,268497.46,259446.73,C2014184,10692.49,19743.22,9050.73,9050.73,0.0337,0,0,0,0,0
343,7,PAYMENT,372.79,C3728924,20310.79,19938.0,C4848117,683.6,1056.39,372.79,372.79,0.0184,0,0,0,0,0
281,17,TRANSFER,1186.58,C2273850,302236.34,301049.76,C3603507,17735.64,18922.22,1186.58,1186.58,0.0039,0,0,0,0,0
257,17,PAYMENT,8408.66,C7024566,386.63,0.0,C2392948,7449.18,15857.84,386.63,8408.66,21.7486,0,0,0,0,0
380,20,CASH_IN,9443.4,C3852834,819.75,10263.15,C2813811,555.18,9998.58,-9443.4,9443.4,11.5199,0,0,0,0,0
14,14,CASH_OUT,25811.45,C9521427,90828.42,65016.97,C8266743,106632.07,132443.52,25811.45,25811.45,0.2842,0,0,0,0,0
636,12,DEBIT,1831.58,C5073250,30316.56,28484.98,C1605588,49695.66,51527.24,1831.58,1831.58,0.0604,0,0,1,0,0
361,1,TRANSFER,35718.61,C5468879,3025.85,0.0,C1051014,29223.47,64942.08,3025.85,35718.61,11.8045,0,1,0,0,0
249,9,DEBIT,2707.6,C7153441,156873.51,154165.91,C8360358,12049.97,14757.57,2707.6,2707.6,0.0173,0,0,0,0,0
149,5,PAYMENT,696.68,C4506303,23743.89,23047.21,C6640989,14488.64,15185.32,696.68,696.68,0.0293,0,1,1,0,0
604,4,PAYMENT,66564.26,C3051442,32878.41,0.0,C8714262,26507.96,93072.22,32878.41,66564.26,2.0246,0,1,0,0,0
88,16,PAYMENT,24643.89,C4846219,1272.26,0.0,C1048154,4525.2,29169.09,1272.26,24643.89,19.3702,0,0,0,0,0
166,22,PAYMENT,7629.93,C8831344,19600.42,11970.49,C4522769,77450.22,85080.15,7629.93,7629.93,0.3893,0,1,1,0,0
419,11,TRANSFER,904.4,C2314644,9386.54,8482.14,C8006244,24123.68,25028.08,904.4,904.4,0.0964,0,0,0,0,0
394,10,CASH_IN,8668.49,C9761178,5720.16,14388.65,C5466782,6376.99,15045.48,-8668.49,8668.49,1.5154,0,0,0,0,0
201,9,TRANSFER,15695.69,C3602881,4995.49,0.0,C9051192,4567.79,20263.48,4995.49,15695.69,3.142,0,0,0,0,0
712,16,PAYMENT,934.78,C3160439,19019.05,18084.27,C5623781,27236.05,28170.83,934.78,934.78,0.0491,0,0,0,0,0
696,0,DEBIT,1586.69,C5017833,76996.74,75410.05,C8313206,19014.7,20601.39,1586.69,1586.69,0.0206,0,1,0,0,0
698,2,DEBIT,6832.57,C3646145,8890.42,2057.85,C7468546,56094.59,62927.16,6832.57,6832.57,0.7685,0,1,0,0,0
456,0,DEBIT,5752.48,C2981120,1736.46,0.0,C5531413,88120.17,93872.65,1736.46,5752.48,3.3128,0,1,1,0,0
269,5,CASH_IN,27147.91,C3467038,30581.56,57729.47,C6468315,10531.79,37679.7,-27147.91,27147.91,0.8877,0,1,0,0,0
647,23,PAYMENT,1392.4,C7057198,135916.61,134524.21,C2364770,1268.9,2661.3,1392.4,1392.4,0.0102,0,1,1,0,0
595,19,CASH_OUT,12587.53,C4215051,27580.88,14993.35,C3106561,189.16,12776.69,12587.53,12587.53,0.4564,0,0,0,0,0
144,0,CASH_IN,845.2,C8724279,42814.96,43660.16,C2766256,358.88,1204.08,-845.2,845.2,0.0197,0,1,1,0,0
620,20,CASH_IN,2485.17,C7694165,44550.67,47035.84,C8803294,1397.5,3882.67,-2485.17,2485.17,0.0558,0,0,0,0,0
587,11,CASH_IN,3340.03,C7873402,645516.95,648856.98,C8345586,4191.49,7531.52,-3340.03,3340.03,0.0052,0,0,0,0,0
331,19,DEBIT,1450.35,C6366335,28742.88,27292.53,C9792899,17403.56,18853.91,1450.35,1450.35,0.0505,0,0,1,0,0
228,12,TRANSFER,25473.61,C7943515,19584.65,0.0,C1455163,7833.21,33306.82,19584.65,25473.61,1.3007,0,0,0,0,0
472,16,CASH_IN,54808.31,C9622374,3009.86,57818.17,C7147175,2765.22,57573.53,-54808.31,54808.31,18.2096,0,0,1,0,0
313,1,PAYMENT,6390.97,C3731972,7206.46,815.49,C5593939,24010.98,30401.95,6390.97,6390.97,0.8868,0,1,1,0,0
662,14,TRANSFER,11280.97,C8329400,3155.39,0.0,C8738171,9304.48,20585.45,3155.39,11280.97,3.5751,0,0,1,0,0
716,20,CASH_OUT,4256.79,C2446611,60584.06,56327.27,C8709980,1909.03,6165.82,4256.79,4256.79,0.0703,0,0,0,0,0
308,20,CASH_IN,30937.59,C6653170,239623.42,270561.01,C1275485,1026.17,31963.76,-30937.59,30937.59,0.1291,0,0,1,0,0
206,14,CASH_IN,31805.19,C8994743,5890.03,37695.22,C4408176,722.11,32527.3,-31805.19,31805.19,5.3998,0,0,0,0,0
527,23,CASH_OUT,9197.69,C2398818,249156.26,239958.57,C3444716,2760.7,11958.39,9197.69,9197.69,0.0369,0,1,0,0,0
668,20,DEBIT,1246.47,C8023807,7853.36,6606.89,C6027933,5708.32,6954.79,1246.47,1246.47,0.1587,0,0,1,0,0
351,15,CASH_OUT,4111.4,C2526390,35343.9,31232.5,C3572003,37669.14,41780.54,4111.4,4111.4,0.1163,0,0,0,0,0
646,22,TRANSFER,12617.47,C1538051,3482.36,0.0,C9331081,2180.21,14797.68,3482.36,12617.47,3.6233,0,1,1,0,0
660,12,TRANSFER,94781.18,C3747729,71203.29,0.0,C3629481,567.81,95348.99,71203.29,94781.18,1.3311,0,0,1,0,0
264,0,PAYMENT,1741.47,C7687780,48439.54,46698.07,C3535803,72561.9,74303.37,1741.47,1741.47,0.036,0,1,0,0,0
329,17,CASH_IN,4073.34,C6222201,1067.97,5141.31,C6487960,12702.78,16776.12,-4073.34,4073.34,3.8141,0,0,1,0,0
191,23,CASH_OUT,8188.3,C8392892,22060.25,13871.95,C5041621,12555.14,20743.44,8188.3,8188.3,0.3712,0,1,0,0,0
462,6,DEBIT,1401.58,C2324594,4788.37,3386.79,C9632737,20729.99,22131.57,1401.58,1401.58,0.2927,0,0,1,0,0
40,16,PAYMENT,3096.08,C7947058,8673.22,5577.14,C5782189,16527.65,19623.73,3096.08,3096.08,0.357,0,0,0,0,0
47,23,TRANSFER,11095.91,C2816319,25015.52,13919.61,C3351641,737.62,11833.53,11095.91,11095.91,0.4436,0,1,0,0,0
192,0,TRANSFER,108600.89,C2986711,2286.58,0.0,C2718261,17565.94,126166.83,2286.58,108600.89,47.4949,0,1,0,0,0
106,10,CASH_OUT,217703.84,C4898926,268845.15,51141.31,C9631497,18015.4,0.0,217703.84,-18015.4,0.8098,1,0,0,0,1
197,5,DEBIT,2333.71,C9004114,3033.9,700.19,C4367808,8260.42,10594.13,2333.71,2333.71,0.7692,0,1,0,0,0
313,1,PAYMENT,1357.97,C6918427,11542.5,10184.53,C7499700,1730984.91,1732342.88,1357.97,1357.97,0.1176,0,1,1,0,0
529,1,CASH_OUT,4430.46,C8494578,1571.7,0.0,C7219358,11156.13,15586.59,1571.7,4430.46,2.8189,0,1,0,0,0
555,3,CASH_OUT,1071.56,C4358033,496558.7,495487.14,C8622275,600.05,1671.61,1071.56,1071.56,0.0022,0,1,0,0,0
680,8,TRANSFER,25003.75,C3096026,58514.54,33510.79,C3743993,18294.78,43298.53,25003.75,25003.75,0.4273,0,0,0,0,0
541,13,TRANSFER,14587.36,C5138917,1861.33,0.0,C7668805,10597.9,25185.26,1861.33,14587.36,7.8371,0,0,0,0,0
221,5,TRANSFER,15996.91,C3207106,295593.63,279596.72,C7463900,60599.61,76596.52,15996.91,15996.91,0.0541,0,1,0,0,0
189,21,PAYMENT,4836.13,C5152080,122380.68,117544.55,C1430379,711.2,5547.33,4836.13,4836.13,0.0395,0,0,0,0,0
715,19,CASH_OUT,2622.42,C5190384,190847.73,188225.31,C9338694,74765.12,77387.54,2622.42,2622.42,0.0137,0,0,0,0,0
432,0,CASH_OUT,17190.07,C4615751,10170.03,0.0,C1832449,7241.11,24431.18,10170.03,17190.07,1.6903,0,1,0,0,0
281,17,PAYMENT,1659.05,C4643347,885.27,0.0,C6275105,10840.76,12499.81,885.27,1659.05,1.8741,0,0,0,0,0
634,10,DEBIT,3745.13,C4652911,32502.75,28757.62,C1139146,4936.43,8681.56,3745.13,3745.13,0.1152,0,0,1,0,0
238,22,CASH_IN,4719.65,C2411337,6169.28,10888.93,C9965802,2841.72,7561.37,-4719.65,4719.65,0.765,0,1,0,0,0
495,15,TRANSFER,4985.42,C9662904,3405.58,0.0,C3910761,29754.64,34740.06,3405.58,4985.42,1.4639,0,0,1,0,0
377,17,CASH_IN,45451.54,C1915423,94326.44,139777.98,C1629613,8412.66,53864.2,-45451.54,45451.54,0.4819,0,0,0,0,0
664,16,DEBIT,647.57,C7889028,10113.71,9466.14,C6355923,7299.06,7946.63,647.57,647.57,0.064,0,0,1,0,0
404,20,DEBIT,1975.4,C2048705,15495.06,13519.66,C2352755,3721.38,5696.78,1975.4,1975.4,0.1275,0,0,0,0,0
686,14,TRANSFER,22769.11,C5429325,61173.73,38404.62,C3195302,3215.74,25984.85,22769.11,22769.11,0.3722,0,0,0,0,0
102,6,CASH_IN,88246.92,C7187627,93424.32,181671.24,C9343323,21316.19,109563.11,-88246.92,88246.92,0.9446,0,0,0,0,0
651,3,TRANSFER,331671.01,C7317448,334693.85,3022.84,C7284555,24111.32,0.0,331671.01,-24111.32,0.991,1,1,1,0,1
187,19,TRANSFER,10063.24,C7055277,1706.86,0.0,C2342843,9142.32,19205.56,1706.86,10063.24,5.8958,0,0,0,0,0
284,20,TRANSFER,23482.51,C3269269,2631.87,0.0,C6123614,150266.86,173749.37,2631.87,23482.51,8.9224,0,0,0,0,0
493,13,PAYMENT,3402.05,C7233459,233928.96,230526.91,C8293173,3688.46,7090.51,3402.05,3402.05,0.0145,0,0,1,0,0
367,7,DEBIT,8999.7,C1856668,30845.8,21846.1,C1237860,36140.37,45140.07,8999.7,8999.7,0.2918,0,0,0,0,0
56,8,CASH_OUT,21834.44,C4170955,53309.16,31474.72,C9709239,1394.3,23228.74,21834.44,21834.44,0.4096,0,0,0,0,0
518,14,TRANSFER,6960.34,C8939526,9555.0,2594.66,C4045776,2860.54,9820.88,6960.34,6960.34,0.7285,0,0,0,0,0
517,13,CASH_IN,10764.9,C1230889,380052.1,390817.0,C2259591,46730.26,57495.16,-10764.9,10764.9,0.0283,0,0,0,0,0
26,2,PAYMENT,2949.66,C2913512,516.27,0.0,C9204944,6719.77,9669.43,516.27,2949.66,5.7134,0,1,0,0,0
612,12,PAYMENT,2011.27,C6238138,6047.34,4036.07,C5833741,1615.82,3627.09,2011.27,2011.27,0.3326,0,0,0,0,0
621,21,DEBIT,4750.02,C1996393,6677.05,1927.03,C9431794,60300.11,65050.13,4750.02,4750.02,0.7114,0,0,0,0,0
552,0,PAYMENT,659.67,C2977249,7492.41,6832.74,C5130997,80940.45,81600.12,659.67,659.67,0.088,0,1,0,0,0
418,10,CASH_IN,9850.14,C2202062,342986.85,352836.99,C1935461,938.76,10788.9,-9850.14,9850.14,0.0287,0,0,0,0,0
352,16,PAYMENT,3882.32,C2400575,35413.33,31531.01,C2635331,6153.42,10035.74,3882.32,3882.32,0.1096,0,0,0,0,0
